253, 265, 233, 249
247, 257, 257, 239
236, 258, 247, 259
268, 247, 232, 253
235, 255, 262, 248
243, 278, 253, 226
219, 259, 255, 267
250, 238, 246, 266
267, 244, 252, 237
250, 247, 261, 242
262, 248, 251, 239
233, 268, 273, 226
287, 233, 245, 235
242, 253, 258, 247
228, 248, 248, 276
225, 262, 261, 252
260, 261, 228, 251
243, 251, 253, 253
233, 230, 268, 269
226, 255, 257, 262
260, 227, 266, 247
264, 238, 265, 233
250, 253, 260, 237
274, 257, 226, 243
267, 244, 227, 262
261, 229, 233, 277
243, 249, 256, 252
250, 243, 242, 265
225, 257, 243, 275
258, 250, 236, 256
270, 224, 253, 253
260, 241, 238, 261
251, 233, 256, 260
264, 245, 230, 261
258, 246, 239, 257
252, 259, 261, 228
257, 247, 250, 246
233, 285, 237, 245
242, 249, 271, 238
239, 242, 243, 276
230, 263, 268, 239
256, 274, 233, 237
272, 244, 250, 234
220, 250, 269, 261
268, 235, 251, 246
241, 266, 232, 261
250, 250, 258, 242
224, 255, 266, 255
260, 232, 253, 255
239, 251, 266, 244
225, 275, 238, 262
227, 244, 263, 266
233, 285, 250, 232
266, 248, 262, 224
234, 246, 264, 256
249, 236, 258, 257
248, 261, 248, 243
260, 236, 242, 262
263, 246, 256, 235
253, 243, 245, 259
252, 250, 260, 238
247, 250, 215, 288
239, 246, 283, 232
270, 247, 252, 231
272, 273, 217, 238
248, 265, 249, 238
245, 237, 264, 254
259, 244, 254, 243
258, 249, 249, 244
262, 254, 250, 234
252, 247, 245, 256
236, 261, 253, 250
259, 242, 248, 251
252, 260, 258, 230
249, 255, 257, 239
253, 240, 244, 263
251, 244, 249, 256
243, 240, 264, 253
269, 256, 235, 240
246, 240, 258, 256
251, 244, 257, 248
274, 249, 254, 223
242, 261, 249, 248
218, 276, 266, 240
245, 246, 233, 276
245, 274, 262, 219
248, 257, 246, 249
229, 257, 256, 258
277, 249, 256, 218
247, 246, 256, 251
275, 246, 228, 251
236, 252, 246, 266
252, 266, 250, 232
252, 239, 252, 257
284, 237, 247, 232
247, 242, 250, 261
224, 274, 269, 233
249, 245, 237, 269
219, 280, 247, 254
236, 254, 265, 245
